fecha;serie_hidrologica;region_hidrologica;aporte_hidrico
2023-01-13;DESVGUAR;Caldas;1378700
2023-01-13;DESVMANS;Caldas;120400
2023-01-13;PTEHMIEL;Caldas;4697400
2023-01-13;URR1SINU;Caribe;3296900
2023-01-13;ALICBOGO;Centro;20300100
2023-01-13;AMOYAMOY;Centro;2047100
2023-01-13;BETAMAG1;Centro;3609800
2023-01-13;CUCUCUCU;Centro;1424600
2023-01-13;DESVSMAR;Centro;319700
2023-01-13;EMBAPRAD;Centro;1505200
2023-01-13;QUIMMAGD;Centro;10138900
2023-01-13;SOGASOGA;Centro;21168400
2023-01-13;DESVBATA;Oriente;788900
2023-01-13;DESVCHIV;Oriente;955300
2023-01-13;EMBACHUZ;Oriente;3571000
2023-01-13;EMBAGUAV;Oriente;15050500
2023-01-13;ESMEBATA;Oriente;6717700
2023-01-13;ALTOANCH;Valle;5408700
2023-01-13;BAJOANCH;Valle;484200
2023-01-13;CAL1CALM;Valle;971300
2023-01-13;FLR2CAUC;Valle;275800
2023-01-13;SALVCAUC;Valle;16126600
2023-01-14;BOCATENC;Antioquia;1708900
2023-01-14;CLLRPORC;Antioquia;6686200
2023-01-14;DESVIEPM;Antioquia;2849600
2023-01-14;ITUACAUC;Antioquia;69206900
2023-01-14;MIRFTENC;Antioquia;801700
2023-01-14;PENONARE;Antioquia;13046200
2023-01-14;PLAYGUAT;Antioquia;4461900
2023-01-14;PP-2POR1;Antioquia;2950100
2023-01-14;PP-3PORC;Antioquia;994300
2023-01-14;PUNCGUAT;Antioquia;7675800
2023-01-14;QUBRRGRD;Antioquia;133100
2023-01-14;RGR2RGRD;Antioquia;17764400
2023-01-14;SLORNARE;Antioquia;5195600
2023-01-14;SMIGCALD;Antioquia;1564600
2023-01-14;TRONGUAD;Antioquia;5653300
2023-01-14;DESVGUAR;Caldas;86800
2023-01-14;DESVMANS;Caldas;120800
2023-01-14;PTEHMIEL;Caldas;6321100
2023-01-14;URR1SINU;Caribe;5098400
2023-01-14;ALICBOGO;Centro;21453700
2023-01-14;AMOYAMOY;Centro;2149200
2023-01-14;BETAMAG1;Centro;2454500
2023-01-14;CUCUCUCU;Centro;1424600
2023-01-14;DESVSMAR;Centro;319700
2023-01-14;EMBAPRAD;Centro;3376500
2023-01-14;QUIMMAGD;Centro;6085500
2023-01-14;SOGASOGA;Centro;19515200
2023-01-14;DESVBATA;Oriente;759500
2023-01-14;DESVCHIV;Oriente;605800
2023-01-14;EMBACHUZ;Oriente;2173300
2023-01-14;EMBAGUAV;Oriente;9892400
2023-01-14;ESMEBATA;Oriente;5778500
2023-01-14;ALTOANCH;Valle;7214600
2023-01-14;BAJOANCH;Valle;624900
2023-01-14;CAL1CALM;Valle;1948700
2023-01-14;FLR2CAUC;Valle;240200
2023-01-14;SALVCAUC;Valle;18234000
2023-01-15;BOCATENC;Antioquia;1253100
2023-01-15;CLLRPORC;Antioquia;9756100
2023-01-15;DESVIEPM;Antioquia;2680800
2023-01-15;ITUACAUC;Antioquia;73442600
2023-01-15;MIRFTENC;Antioquia;809500
2023-01-15;PENONARE;Antioquia;14293000
2023-01-15;PLAYGUAT;Antioquia;3348100
2023-01-15;PP-2POR1;Antioquia;2912200
2023-01-15;PP-3PORC;Antioquia;1796300
2023-01-15;PUNCGUAT;Antioquia;4296800
2023-01-15;QUBRRGRD;Antioquia;119100
2023-01-15;RGR2RGRD;Antioquia;15891900
2023-01-15;SLORNARE;Antioquia;4811800
2023-01-15;SMIGCALD;Antioquia;1405900
2023-01-15;TRONGUAD;Antioquia;3985400
2023-01-15;DESVGUAR;Caldas;416800
2023-01-15;DESVMANS;Caldas;261500
2023-01-15;PTEHMIEL;Caldas;5444100
2023-01-15;URR1SINU;Caribe;6151200
2023-01-15;ALICBOGO;Centro;22493100
2023-01-15;AMOYAMOY;Centro;1946300
2023-01-15;BETAMAG1;Centro;2364400
2023-01-15;CUCUCUCU;Centro;1396000
2023-01-15;DESVSMAR;Centro;359700
2023-01-15;EMBAPRAD;Centro;1515000
2023-01-15;QUIMMAGD;Centro;6608700
2023-01-15;SOGASOGA;Centro;18252900
2023-01-15;DESVBATA;Oriente;1506000
2023-01-15;DESVCHIV;Oriente;1278300
